A01	Badanie ogolne moczu (profil)
20.94	Wstrzykniecie do jamy bebenkowej
20.95	Wszczepienie elektromagnetycznego przyrzadu sluchowego (protezy sluchowej)
20.96	Wszczepienie/ wymiana protezy slimaka - nie okreslone inaczej
20.97	Wszczepienie/ wymiana jednokanalowej protezy slimaka
20.98	Wszczepienie/ wymiana wielokanalowej protezy slimaka
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
20.99	Operacje ucha srodkowego/ wewnetrznego - inne
21.01	Przednia tamponada nosa przy krwotoku
21.02	Tylna i przednia tamponada nosa przy krwotoku
21.03	Przyzeganie przy krwotoku z nosa i tamponada
21.04	Podwiazanie tt. sitowych przy krwotoku z nosa
21.05	Podwiazanie t. szczekowej przy krwotoku z nosa
21.06	Podwiazanie t. szyjnej zewnetrznej przy krwotoku z nosa
21.07	Wyciecie sluzowki/ przeszczep skory na przegrode i boczna sciane nosa przy krwotoku z nosa
21.09	Opanowanie krwotoku z nosa - inne
21.11	Naciecie chrzastki nosa
21.12	Naciecie skory nosa
21.13	Naciecie przegrody nosowej
21.14	Drenaz ropnia przegrody nosa
21.15	Naciecie malzowiny nosa - (konchotomia) czesciowa podsluzowkowa
21.18	Endoskopowy drenaz ropnia przegrody nosa
21.21	Wziernikowanie nosa
21.22	Biopsja nosa
21.29	Inne zabiegi diagnostyczne nosa
21.29	Inne zabiegi diagnostyczne nosa
21.29	Inne zabiegi diagnostyczne nosa
21.29	Inne zabiegi diagnostyczne nosa
21.30	Wyciecie lub zniszczenie zmiany nosa - nie okreslone inaczej
21.31	Miejscowe wyciecie lub zniszczenie zmiany wewnatrznosowej
21.31	Miejscowe wyciecie lub zniszczenie zmiany wewnatrznosowej
21.32	Miejscowe wyciecie lub zniszczenie innych zmian nosa
21.38	Endoskopowe miejscowe wyciecie lub zniszczenie zmiany nosa
	
	
21.61	Wyciecie malzowiny nosa (diatermia/ krioterapia/ laserochirurgia)
21.62	Zlamanie malzowiny nosa
21.69	Wyciecie malzowiny nosa - inne
21.71	Zamkniete nastawienie zlamania nosa
21.72	Otwarte nastawienie zlamania nosa
21.81	Szycie rany nosa
21.82	Zamkniecie przetoki nosowej
21.82	Zamkniecie przetoki nosowej
21.82	Zamkniecie przetoki nosowej
21.83	Calkowita rekonstrukcja nosa
21.83	Calkowita rekonstrukcja nosa
21.84	Korekcyjna plastyka nosa
21.84	Korekcyjna plastyka nosa
21.85	Plastyka nosa - powiekszenie (uzupelnienie)
21.85	Plastyka nosa - powiekszenie (uzupelnienie)
21.86	Plastyka nosa ograniczona 
21.86	Plastyka nosa ograniczona 
21.87	Endoskopowa plastyka przegrody nosa
21.88	Plastyka przegrody nosa - inne
21.88	Plastyka przegrody nosa - inne
21.89	Operacje nosa (plastyka/rekonstrukcja) - inne
21.89	Operacje nosa (plastyka/rekonstrukcja) - inne
21.89	Operacje nosa (plastyka/rekonstrukcja) - inne
21.89	Operacje nosa (plastyka/rekonstrukcja) - inne
21.91	Uwolnienie zrostow nosowych
21.92	Odwarstwienie blony sluzowej przegrody nosa
21.98	Endoskopowe uwolnienie zrostow nosowych
21.99	Operacje nosa - inne
22.00	Aspiracja/ plukanie zatok nosa - inne
22.01	Punkcja zatoki nosa/ plukanie/ aspiracja
22.02	Aspiracja lub przeplukanie zatoki nosa przez naturalne ujscie
22.09	Aspiracja/ przeplukanie zatok nosa - inne
22.11	Zamknieta iglowa biopsja zatoki nosa
22.12	Otwarta biopsja zatoki nosa
22.18	Endoskopowa biopsja zatoki nosa
22.19	Inne zabiegi diagnostyczne zatok nosa
22.19	Inne zabiegi diagnostyczne zatok nosa
	
22.31	Radykalna antrotomia (otwarcie) zatoki szczekowej
22.31	Radykalna antrotomia (otwarcie) zatoki szczekowej
22.39	Inne zewnetrzne otwarcie zatoki szczekowej
22.39	Inne zewnetrzne otwarcie zatoki szczekowej
22.41	Otwarcie zatoki czolowej
22.42	Wyciecie zatoki czolowej
22.42	Wyciecie zatoki czolowej
22.42	Wyciecie zatoki czolowej
22.51	Otwarcie komorek sitowych
22.52	Otwarcie zatoki klinowej
22.53	Otwarcie wielu zatok nosa
22.58	Endoskopowe otwarcie wielu zatok nosa
22.59	Otwarcie zatoki nosa - inne
22.61	Wyciecie zmiany zatoki szczekowej z dostepu Caldwell-Luc`a
22.62	Wyciecie zmiany zatoki szczekowej - z innego dostepu
22.63	Wyciecie komorek sitowych
22.64	Usuniecie zatoki klinowej
22.69	Wyciecie zatoki nosa - inne
22.71	Zamkniecie przetoki zatoki nosa
22.79	Zabiegi naprawcze zatok nosa - inne
22.79	Zabiegi naprawcze zatok nosa - inne
22.91	Wylonienie zatoki szczekowej
22.92	Wytworzenie przetoki zatoki
23.0101 	Badanie lekarskie stomatologiczne, ktore obejmuje rowniez instruktaz higieny jamy ustnej
23.0102	Badanie lekarskie kontrolne
23.0103	Porada lekarska
23.0104	Wydanie orzeczenia lekarskiego
23.0105	Konsultacja specjalistyczna
23.0106	Wydanie krotkiego zaswiadczenia lub swiadectwa
	
23.0301	Rentgenodiagnostyka do 2 zdjec wewnatrzustnych
23.0302	Rentgenodiagnostyka do 5 zdjec wewnatrzustnych
23.0303	Rentgenodiagnostyka do 8 zdjec wewnatrzustnych
23.0304	Rentgenodiagnostyka - zdjecie pantomograficzne z opisem
23.0401	Znieczulenie miejscowe powierzchniowe
23.0402	Znieczulenie miejscowe nasiekowe
23.0403	Znieczulenie przewodowe wewnatrzustne
23.0404	Znieczulenie przewodowe zewnatrzustne
	
	
	
	
23.0901	Balneoterapia lub hydroterapia
23.0902	Naswietlanie Sollux
23.0903	Jonoforeza nadziaslowa
23.0904	Jonoforeza lub elektrosterylizacja kanalu korzeniowego
23.0905	Diadynamik 1/2 luku zebowego
23.0906	Hydroterapia
23.0907	Laseroterapia biostymulacyjna
23.1001	Indywidualna fluoryzacja metoda kontaktowa - za kazdy zabieg
23.1002	Fluoryzacja kontaktowa zbiorowa, 1 zabieg u kazdego dziecka
23.1003	Zabezpieczenie profilaktyczne bruzd lakiem szczelinowym - za kazdy zab
23.1004	Zabezpieczanie profilaktyczne bruzd innymi materialami
23.1006	Lakierowanie zebow 1/4 luku zebowego
23.1007	Leczenie nadwrazliwosci zebow w obrebie 1/4 luku zebowego
23.1008	Impregnacja zebiny
23.1009	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 6. miesiacu zycia
23.1010	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 9. miesiacu zycia
23.1011	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 12. miesiacu zycia
23.1012	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 2. roku zycia
23.1013	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 4. roku zycia
23.1014	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 5. roku zycia
23.1015	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 6. roku zycia
23.1016	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 7. roku zycia
23.1017	Profilaktyczne swiadczenie stomatologiczne dla dziecka w 10. roku zycia
23.1018	Profilaktyczne swiadczenie stomatologiczne dla mlodziezy w 12. roku zycia
23.1019	Profilaktyczne swiadczenie stomatologiczne dla mlodziezy w 13. roku zycia
23.1020	Profilaktyczne swiadczenie stomatologiczne dla mlodziezy w 16. roku zycia
23.1021	Profilaktyczne swiadczenie stomatologiczne dla mlodziezy w 19. roku zycia
23.1022	Profilaktyczne swiadczenie stomatologiczne zapobiegajace wadom zgryzu
23.1101	Leczenie prochnicy powierzchniowej - za kazdy zab
23.1102	Calkowite opracowanie ubytku prochnicowego z zalozeniem podkladu
23.1103	Calkowite opracowanie rozleglego ubytku prochnicowego z zalozeniem podwojnego podkladu
23.1104	Postepowanie przy prochnicy glebokiej - posrednie pokrycie miazgi
23.1105	Postepowanie przy obnazeniu i skaleczeniu miazgi - bezposrednie pokrycie miazgi
23.1106	Opatrunek leczniczy w zebie stalym
23.1107	Opatrunek leczniczy w zebie mlecznym
23.1108	Wypelnienie ubytku korony zeba mlecznego
23.1109 	Wypelnienie ubytku korony zeba na 1 powierzchni
23.1110	Wypelnienie ubytku korony zeba na 2 powierzchniach
23.1111	Wypelnienie ubytku korony zeba na 3 powierzchniach
23.1112	Wypelnienie ubytku korony zeba na wiecej niz 3 powierzchniach
23.1201	Trepanacja martwego zeba z zaopatrzeniem ubytku opatrunkiem
23.1202	Dewitalizacja miazgi zeba z zaopatrzeniem ubytku opatrunkiem
23.1203	Amputacja przyzyciowa miazgi w zebie z nieuformowanym korzeniem
23.1204	Amputacja przyzyciowa miazgi
23.1205	Ekstyrpacja przyzyciowa miazgi w zebie z nieuformowanym korzeniem
23.1206	Ekstyrpacja przyzyciowa miazgi
23.1207	Amputacja zdewitalizowanej miazgi zeba
23.1208	Ekstyrpacja zdewitalizowanej miazgi zeba z nieuformowanym korzeniem
23.1209	Ekstyrpacja zdewitalizowanej miazgi zeba
23.1210	Amputacja zdewitalizowanej miazgi zeba mlecznego
23.1301	Calkowite opracowanie i dezynfekcja kanalu
23.1302	Leczenie zgorzeli
23.1303	Leczenie zgorzeli calkowitej niepowiklanej zeba z nieuformowanym korzeniem
23.1304	Dodatkowe fizykochemiczne metody udrazniania i opracowywania kanalu
23.1305	Ponowne udroznienie wypelnionego kanalu
23.1306	Czasowe wypelnienie kanalu
23.1307	Wypelnienie kanalu
23.1308	Leczenie endodontyczne z wypelnieniem 2 kanalow
23.1309	Leczenie endodontyczne z wypelnieniem 3 kanalow
23.1310	Leczenie endodontyczne metoda amputacyjno-ekstyrpacyjna
23.1311	Leczenie endodontyczne zeba z wypelnieniem 1 kanalu ze zgorzela miazgi
23.1312	Leczenie endodontyczne zeba z wypelnieniem 2 kanalow ze zgorzela miazgi
23.1313	Leczenie endodontyczne zeba z wypelnieniem 3 kanalow ze zgorzela miazgi
	
23.1501	Odbudowa zniszczonego, zlamanego kata w zebach siecznych
23.1502	Calkowite opracowanie i odbudowa ubytku zeba na 1 powierzchni
23.1503	Calkowite opracowanie i odbudowa ubytku na 2 powierzchniach
23.1504	Calkowite opracowanie i odbudowa rozleglego ubytku na 2 powierzchniach
23.1505	Calkowite opracowanie i odbudowa rozleglego ubytku na 3 powierzchniach
23.1506	Calkowite opracowanie i odbudowa rozleglego ubytku na wiecej niz 3 powierzchniach
23.1507	Calkowite opracowanie i odbudowa zniszczonego kata w zebach siecznych
23.1508	Kosmetyczne pokrycie niedorozwoju szkliwa
23.1509	Kosmetyczna korekta przebarwienia zebiny w zebach przednich
23.1510	Likwidacja diastemy
23.1511	Wybielanie zeba metoda wewnetrzna
23.1512	Wybielanie grupy zebow metoda zewnetrzna
23.1601	Usuniecie zlogow nazebnych z 1/2 luku zebowego
23.1602	Usuniecie zlogow nazebnych ze wszystkich zebow
23.1603	Polerowanie zebow
23.1604	Plukanie kieszonki dziaslowej i aplikacja leku
23.1605	Leczenie zmian na blonie sluzowej jamy ustnej
23.1606	Korekta zgryzu
23.1607	Kiretaz zwykly w obrebie 1/4 uzebienia
23.1608	Kiretaz otwarty w obrebie 1/4 uzebienia
23.1609	Gingwoplastyka
23.1610	Gingwoosteoplastyka
23.1611	Podciecie wedzidelka, wargi, jezyka, policzka
23.1612	Plastyka wedzidelka ,wargi ,policzka
23.1613	Plastyka przedsionka jamy ustnej met. Clarka, Kazanjana
23.1614	Plastyka przedsionka jamy ustnej met. Nabersa
23.1615	Unieruchomienie zebow ligatura druciana
23.1616	Unieruchomienie zebow materialem zlozonym (kompozytowym)
23.1617	Unieruchomienie zebow szyna z materialu zlozonego z dodatkowymi wzmocnieniami
23.1618	Zabieg wszczepiania hydroksyapatytu, bioglassu lub tp.
23.1619	Zabieg pokrycia obnazonych korzeni zebow metoda bocznie przesunietego plata
23.1620	Zalozenie opatrunku parodontologicznego
23.1701	Usuniecie zeba jednokorzeniowego
23.1702	Usuniecie zeba wielokorzeniowego
23.1703	Usuniecie gleboko zlamanego zeba poprzez dlutowanie wewnatrzzebodolowe przy zastosowaniu wiertel, dzwigni
23.1704	Usuniecie zeba przez dlutowanie zewnatrzzebodolowe z wytworzeniem plata sluzowkowo-okostnowego
23.1705	Operacyjne usuniecie zeba zatrzymanego
23.1706	Operacyjne odsloniecie zatrzymanego zeba z zalozeniem petli drucianej dla celow ortodontycznych
23.1707	Operacyjne usuniecie zawiazkow zebow ze wskazań ortodontycznych
23.1708	Usuniecie zebow w znieczuleniu ogolnym u pacjentow z niedorozwojem umyslowym
23.1801	Zamkniecie zatoki otwartej w przebiegu chirurgicznego usuwania zeba
23.1802	Resekcja wierzcholka korzenia zeba przedniego
23.1803	Resekcja wierzcholka korzenia zeba bocznego
23.1804	Resekcja wierzcholka korzenia zeba kazdego nastepnego zeba podczas tego samego zabiegu i dotyczy zebow
23.1805	Hemisekcja zeba
23.1806	Reimplantacja zeba
23.1807	Wyluszczenie torbieli zebopochodnej
23.1808	Wyluszczenie kamienia z przewodu slinianki
23.1809	Chirurgiczne zaopatrzenie malej rany obejmujacej do 3 zebodolow wlacznie ze szwem
23.1810	Chirurgiczne zaopatrzenie malej rany obejmujacej do 2-3 zebodolow wlacznie z opracowaniem i szwami
23.1811	Chirurgiczne zaopatrzenie duzej rany w obrebie polowy szczeki wlacznie ze szwami
23.1812	Chirurgiczne zaopatrzenie duzej, albo znacznie zanieczyszczonej rany w obrebie polowy szczeki wlacznie z opracowaniem i szwami
23.1813	Zatamowanie krwawienia w obrebie jamy ustnej - nie zaliczane w bezposrednim polaczeniu z zabiegiem chirurgicznym, chyba ze zajmuje niewspolmiernie duzo czasu
23.1814	Zatamowanie masywnego krwawienia w obrebie jamy ustnej przez podwiazanie, poklucie naczyń badz zatkanie koscia
23.1815	Zalozenie opatrunku chirurgicznego
23.1816	Ograniczone, miejscowe wyciecie wargi, jezyka
23.1817	Krioterapia niewielkich zmian w obrebie tkanek miekkich jamy ustnej
23.1819	Ograniczone wyciecie, zniszczenie zmiany podniebienia twardego
23.1901	Wyciecie malego guzka lub zmiany guzopodobnej, wlokniaka
23.1902	Wyciecie przerostu blony sluzowej (guzy lagodne, zmiany guzopodobnej, nadziaslaki) w obrebie polowy szczeki
23.1903	Plastyka wyrostka zebodolowego w obrebie polowy szczeki
23.1904	Plastyka wyrostka zebodolowego szczeki lub czesci zebodolowej zuchwy z uzyciem przeszczepu lub wszczepu
23.1905	Plastyka guza szczeki
23.1906	Plastyka polaczenia lub przetoki ustno-zatokowej - jako samodzielne postepowanie lub jako nastepstwo ekstrakcji 
23.2001	Naciecie powierzchniowo, podsluzowkowo lub podskornie lezacego ropnia wlacznie z drenazem i opatrunkiem
23.2002	Naciecie z dojscia wewnatrz lub zewnatrzustnego gleboko lezacego ropnia wlacznie z drenazem i opatrunkiem
23.2003	Naciecie ropowicy
23.2101	Repozycja i unieruchomienie zwichnietego zeba lub grupy zebow
23.2102	Repozycja i unieruchomienie zlamanego fragmentu wyrostka zebodolowego z zebem lub zebami
23.2103	Repozycja i unieruchomienie posredniego, trudnego do repozycji lub wklinowanego fragmentu zlamanego wyrostka zebodolowego
23.2201	Repozycja i unieruchomienie pojedynczego zlamania zuchwy
23.2202	Repozycja i unieruchomienie wielokrotnego, z odlamami posrednimi zlamania zuchwy
23.2203	Repozycja i unieruchomienie poprzecznego lub strzalkowego zlamania szczeki
23.2204	Repozycja i unieruchomienie zlamania szczeki z przemieszczaniem odlamow ze zlamaniami innych kosci twarzy
23.2205	Tymczasowe zaopatrzenie zlamanej szczeki lub szczek
23.2206	Zalozenie szyny drucianej (nazebnej) przy zwichnieciach, reimplantacjach lub transplantacjach zebow, rowniez zalozenie szyny przy zapaleniu kosci, operacjachplastycznych lub resekcjach oraz szynowanie nieuszkodzonej, przeciwstawnej szczeki lub zuchwy
23.2207	Zalozenie szyny z pelota lub plyta nagryzowa przy zlamaniach z przemieszczeniem szczeki lub dna oczodolu lub wyrostka klykciowego zuchwy
23.2208	Badanie kontrolne w trakcie unieruchomienia zlamanych szczek
23.2209	Zdjecie jednej szyny przy wymianie unieruchomienia lub zakończeniu leczenia zachowawczego zlamania szczek
23.2210	Repozycja i unieruchomienie zwichniecia zuchwy
23.2211	Repozycja i unieruchomienie zastarzalego zwichniecia zuchwy
23.2301	Opracowanie na pismie, na zlecenie lub zyczenie, planu leczenia ortodontycznego, wlacznie z ocena modeli i kosztow
23.2302	Wycisk jednej szczeki dla diagnozy, planowania i kontroli
23.2303	Postepowanie przygotowujace do wykonania aparatu, wyciski , ustalenie zwarcia
23.2304	Fotografia (profilu i en face) z ocena (kazdego zdjecia)
23.2305	Zastosowanie dodatkowych metod diagnostycznych
23.2306	Analiza telerentgenogramu
23.2307	Wykonanie zgryzu konstrukcyjnego
23.2308	Korekcyjne szlifowanie zebow
23.2309	srodki do usuniecia szkodliwych przyzwyczajeń i dysfunkcji, rowniez porady i pouczenia, jezeli sa zwiazane z praktycznymi wskazaniami lub cwiczeniami (kazda wizyta)
23.2310	Utrzymywacz przestrzeni jako samodzielne postepowanie
23.2312	srodki do wprowadzenia pojedynczego przemieszczonego zeba do luku, po chirurgicznym jego odslonieciu
23.2401	Leczenie aparatem ortodontycznym ruchomym, jednoszczekowym
23.2402	Leczenie aparatem ortodontycznym ruchomym, dwuszczekowym nieelastycznym
23.2403	Leczenie wady zgryzu aparatem ruchomym ponadstandardowym
23.2404	Oddanie nowego aparatu ruchomego polaczone z instruktazem wlasciwego postepowania
23.2405	Kontrola przebiegu leczenia bez aparatu
23.2406	Kontrola przebiegu leczenia z aparatem ruchomym
23.2501	Naprawa aparatu bez wycisku
23.2502	Naprawa aparatu z wyciskiem
23.2503	Rekonstrukcja aparatu ruchomego przy pacjencie w niewielkim zakresie
23.2504	Rekonstrukcja aparatu ruchomego obejmujacego cala gorna lub dolna czesc aparatu
23.2601	srodki dla przebudowy szczeki, lacznie z retencja w przypadkach prostych
23.2602	srodki dla przebudowy szczeki, lacznie z retencja w przypadkach sredniotrudnych
23.2603	srodki dla przebudowy szczeki, lacznie z retencja w przypadkach trudnych
23.2604	srodki dla przebudowy szczeki, lacznie z retencja w przypadkach bardzo trudnych
23.2605	srodki dla ustawienia zuchwy w prawidlowym zgryzie w kierunku strzalkowym i bocznym, wlacznie z retencja w przypadkach prostych
23.2606	srodki dla ustawienia zuchwy w prawidlowym zgryzie w kierunku strzalkowym i bocznym, wlacznie z retencja w przypadkach sredniotrudnych
23.2607	srodki dla ustawienia zuchwy w prawidlowym zgryzie w kierunku strzalkowym i bocznym, wlacznie z retencja w przypadkach trudnych
23.2608	srodki dla ustawienia zuchwy w prawidlowym zgryzie w kierunku strzalkowym i bocznym, wlacznie z retencja w przypadkach bardzo trudnych
23.2609	Osadzenie zamka ortodontycznego na zebie
23.2610	Kontrola leczenia aparatem stalym
23.2611	Proteza dziecieca czesciowa
23.2612	Proteza dziecieca calkowita
23.2701	Opracowanie na pismie na zlecenie lub zyczenie planu leczenia i kosztow zaopatrzenia protetycznego wlacznie z ocena modeli
23.2702	Wycisk szczeki dla celow wykonania modelu sytuacyjnego, rowniez wycisk czesciowy lub wycisk zgryzowy dla celow diagnostycznych lub planowania
23.2703	Zabiegi przygotowujace (pobieranie wyciskow, proste ustalenie zgryzu lub tp. dla wykonania modelu obu szczek celem oceny diagnostycznej i planowania lacznie z wycena)
23.2704	Przygotowanie uszkodzonego zeba do osadzenia korony poprzez odbudowe kikuta zeba wkladem koronowo-korzeniowym lanym lub srubowym
23.2705 	Ochrona oszlifowanego zeba ksztalka, formowka
23.2706	Ochrona oszlifowanego zeba i zabezpieczenie funkcji prowizoryczna korona lub zastapienia brakujacego zeba elementem prowizorycznego mostu, za korone lub element mostu
23.2801	Odbudowa pojedynczego zeba przy zastosowaniu korony lanej
23.2802	Odbudowa pojedynczego zeba przy zastosowaniu korony licowanej
23.2803	Odbudowa pojedynczego zeba przy zastosowaniu korony pochewkowej lub czesciowej (szlifowanie zeba ze stopniem okreznym)
23.2804	Czynnosci zwiazane z odtworzeniem funkcji koron i prowizorycznych mostow - ponowne osadzenie korony, zeba cwiekowego, licowki rowniez zdjecie korony zywiczej
23.2805	Czynnosci zwiazane z odtworzeniem funkcji koron i prowizorycznych mostow - odnowienie licowki, licowania korony itp.
23.2806	Czynnosci zwiazane z odtworzeniem funkcji koron i prowizorycznych mostow - zdjecie i powtorne umocowanie prowizorycznej korony
23.2901	Likwidacja duzych zaburzeń artykulacyjnych i zgryzowych przed uzupelnieniem brakow zebowych protezami lub mostami
23.2902	Zmiana polozenia szczeki za pomoca plytki zgryzowej (prowadzacej , ustalajacej zwarcie, relaksacyjnej)
23.2903	Wycisk czynnosciowy za pomoca lyzki indywidualnej
23.3001	Uzupelnienie brakow zebowych mostem - za kazdy zab filarowy odbudowany korona lana
23.3002	Uzupelnienie brakow zebowych mostem - za kazdy zab filarowy odbudowany korona licowana
23.3003	Uzupelnienie brakow zebowych mostem - za kazdy zab filarowy odbudowany korona pochewkowa lub czesciowa
23.3004	Uzupelnienie brakow zebowych mostem - za kazdy zab filarowy odbudowany korona teleskopowa
23.3005	"Dalsze czynnosci przy uzupelnianiu brakow zebowych za pomoca na stale mocowanych mostow za kazdy element (punkt) przesla;  liczy sie rowniez element jednobrzezny"
23.3006	Uzupelnienie brakow zebowych za pomoca zlozonych na stale umocowanych lub ruchomych mostow i/lub zlozonych stalych/ruchomych uzupelnień - dodatkowo przy zastosowaniu przesla, wlacznie z elementem laczacym kazde przeslo
23.3007	Uzupelnienie brakow zebowych za pomoca zlozonych na stale umocowanych lub ruchomych mostow i/lub zlozonych stalych /ruchomych uzupelnień - dodatkowo przy zastosowaniu srub, sztyftow sprezynowych lub tp. - za kazdy element laczacy
23.3008	Uzupelnienie brakow zebowych za pomoca zlozonych na stale umocowanych lub ruchomych mostow i/lub zlozonych stalych /ruchomych uzupelnień - dodatkowo przy zastosowaniu zatrzaskow, zawiasow, zasuw lub zakotwiczeń - za kazdy element (matryce i stempel nalezy traktowac jako calosc)
23.3009	Czynnosci dla odtworzenia funkcji mostow lub mocowanych na stale szyn -powtorne osadzenie mostu lub stalej szyny z dwoma zakotwiczeniami
23.3010	Czynnosci dla odtworzenia funkcji mostow lub mocowanych na stale szyn- powtorne osadzenie mostu lub stalej szyny z wiecej niz dwoma zakotwiczeniami
23.3011	Czynnosci dla odtworzenia funkcji mostu - odnowienie licowki, licowania korony filarowej
23.3101	Uzupelnienie brakow zebowych przy pomocy protezy czesciowej wlacznie z prostymi doginanymi klamrami w zakresie 1-4 brakujacych zebow
23.3102	Uzupelnienie brakow zebowych przy pomocy protezy czesciowej wlacznie z prostymi doginanymi klamrami w zakresie 5-8 brakujacych zebow
23.3103	Uzupelnienie brakow zebowych przy pomocy protezy czesciowej wlacznie z prostymi doginanymi klamrami w zakresie wiecej niz 8 zebow
23.3104	Zaopatrzenie bezzebnej szczeki proteza calkowita w szczece
23.3105	Zaopatrzenie bezzebnej szczeki proteza calkowita w zuchwie
23.3106	Zastosowanie metalowej podstawy przy bezzebnej szczece
23.3107	Zastosowanie prostych dwuramiennych elementow utrzymujacych lub podpierajacych lub wieloramiennych elementow doginanych o podobnym dzialaniu dodatkowo do kazdej protezy- przy prowizorycznych protezach jedynie w szczegolnych przypadkach, za element
23.3108	Zastosowanie plyty metalowej z elementami utrzymujacymi i podporami
23.3109	Zastosowanie odlewanych skomplikowanych elementow utrzymujacych i podpierajacych przy zastosowaniu jednego elementu utrzymujacego i podpierajacego - nie przy protezach prowizorycznych
23.3110	Zastosowanie odlewanych skomplikowanych elementow utrzymujacych i podpierajacych przy zastosowaniu przynajmniej dwoch elementow utrzymujacych i podpierajacychnie przy protezach prowizorycznych
23.3111	Czynnosci dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) w malym zakresie bez wycisku
23.3112	Czynnosci dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) w wiekszym zakresie z wyciskiem
23.3113	Czynnosci dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) - czesciowe podscielenie jednej protezy
23.3114	Calkowite bezposrednie podscielenie jednej protezy
23.3115	Calkowite podscielenie jednej protezy w sposob posredni
23.3116	Calkowite podscielenie jednej protezy w sposob posredni, wlacznie z uksztaltowaniem obrzeza – dla szczeki
23.3117	Calkowite podscielenie jednej protezy w sposob posredni wlacznie z czynnosciowym uksztaltowaniem obrzeza -dla zuchwy
23.3118	Czynnosci dla uzupelnienia brakujacych tkanek miekkich, wyrownanie lub zamkniecie defektow w obrebie szczeki przy istniejacym uzebieniu resztkowym
23.3119	Czynnosci dla uzupelnienia brakujacych tkanek miekkich, wyrownania lub zamkniecia defektow w obrebie bezzebnej szczeki
23.3120	Wykonanie obturatora dla zamkniecia podniebienia miekkiego
23.3121	Wykonanie tymczasowej protezy poresekcyjnej wypelniajacej ubytki po resekcji lub uzupelniajacej duze defekty szczeki
23.3122	Wykonanie protezy poresekcyjnej ostatecznej
23.3123	Wykonanie protezy lub epitezy dla uzupelnienia zewnatrzustrojowych  defektow czesci miekkich lub dla uzupelnienia brakujacych czesci twarzy w mniejszym zakresie
23.3124	Wykonanie protezy lub epitezy dla uzupelnienia zewnatrzustrojowych defektow czesci miekkich lub dla uzupelnienia brakujacych czesci twarzy w wiekszym zakresie
23.3125	Czynnosci zwiazane z odtwarzaniem funkcji koron i mostow - zdjecie korony lanej
23.3126	Czynnosci odtwarzajace wysokosc zwarcia poprzez zastosowanie elementow nakladowych w protezie
23.3127	Zastosowanie szyny lanej do repozycji i unieruchomienia zlamania szczek lub repozycji i unieruchomienia szczek po zabiegach korygujacych wady zgryzu - za kazde 2 zeby kolejne objete szyna
	
24.11	Biopsja dziasla
24.12	Biopsja wyrostka zebodolowego
24.19	Inne zabiegi diagnostyczne na zebach/dziaslach/zebodolach
24.21	Plastyka dziasla z przeszczepem kosci lub tkanek miekkich
24.29	Plastyka dziasla - inna
24.31	Wyciecie zmiany/ tkanki dziasla
24.32	Szycie rozerwanego dziasla
24.39	Operacje dziasla - inne
	
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
24.51	Plastyka wyrostka zebodolowego - przykorzeniowa, przezprzegrodowa, radykalna, prosta, z uzyciem przeszczepu lub wszczepu
	
24.71	Zalozenie, wprowadzenie lub dopasowanie: lukow protezy stomatologicznej
24.72	Zalozenie, wprowadzenie lub dopasowanie: ortodontycznej protezy zaslaniajacej otwor ortodontyczny
24.73	Zalozenie, wprowadzenie lub dopasowanie: drutowania
24.74	Zalozenie, wprowadzenie lub dopasowanie: okolozebowe szyny
24.81	Zamkniecie rozszczepu (wyrostka zebodolu, zeba)
24.82	Zgryzowe dopasowanie protezy
24.83	Usuniecie lukow poprzeczki
24.84	Poprawienie luku zebow
	
25.01	Zamknieta (iglowa) biopsja jezyka
25.02	Otwarta biopsja jezyka
25.09	Zabiegi diagnostyczne jezyka - inne
	
	
	
	
25.51	Szycie rany jezyka
